Item name,image of item,quantity of item
Microbit V1,https://en.wikipedia.org/wiki/Micro_Bit#/media/File:BBC_Micro_Bit_with_original_Packaging.jpg,50
Microbit V2,https://en.wikipedia.org/wiki/Micro_Bit#/media/File:Micro-bit_v2.JPG,50
